Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Skylife Art Gallery Loft,Rome,"22,606 kr NOK",Yes,1,5.0,070,https://www.airbnb.com/rooms/994329533773002725?search_mode=regular_search&adults=1&check_in=2026-02-25&check_out=2026-03-02&children=0&infants=0&pets=0&source_impression_id=p3_1769511318_P3fzjTj8KcQMa2yk&previous_page_section_name=1000&federated_search_id=e62e9d07-33a0-4cfa-aa20-c17cdfe3815b
Domus Alba - Charm & Design in Rome,Rome,"22,867 kr NOK",Yes,1,5.0,015,https://www.airbnb.com/rooms/1467333189547403074?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769511318_P3nBrsEltJkXeiOl&previous_page_section_name=1000&federated_search_id=e62e9d07-33a0-4cfa-aa20-c17cdfe3815b
Dreamy apartment close to the center,Vienna,€ 732,No,1,5.0,09,https://www.airbnb.com/rooms/1475315245784949484?search_mode=regular_search&adults=1&check_in=2026-02-03&check_out=2026-02-08&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P38R98oq8AveqIQc&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
#9R Grandfather's workshop - 80 m² loft,Vienna,€ 499,Yes,1,4.95,95259,https://www.airbnb.com/rooms/40946617?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P30S3l9nsdHxW0Io&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
City apartment with terrace & 2 bedrooms,Vienna,"€ 1,148",No,1,5.0,039,https://www.airbnb.com/rooms/911283400357881091?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3-3E9FfImOuedYU&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Apartments at Rochusmarkt Top 10,Vienna,€ 906,Yes,0,5.0,3,https://www.airbnb.com/rooms/1558815228117163259?search_mode=regular_search&adults=1&check_in=2026-03-15&check_out=2026-03-20&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3b0TakZISuGe-vx&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Exclusive opportunity since construction in house,Vienna,€ 937,Yes,1,4.95,9540,https://www.airbnb.com/rooms/46574482?search_mode=regular_search&adults=1&check_in=2026-02-02&check_out=2026-02-07&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3t2gtGcYOBXQhEg&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
No. 7 apartment 70 m² courtyard quiet location in the Biedermeier house,Vienna,€ 429,Yes,1,4.93,93331,https://www.airbnb.com/rooms/12589340?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P31see-qzm9D-fc3&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
Large 2BR Apartment | Near U1 Kagraner Platz,Vienna,€ 343,No,0,New,2,https://www.airbnb.com/rooms/1594893695216386578?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P38D_dJ_ddT1grii&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
sweet dreams,Vienna,€ 785,Yes,1,4.98,9897,https://www.airbnb.com/rooms/30061008?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511363_P3lHtphq5LeS1RiF&previous_page_section_name=1000&federated_search_id=6a5ce4c7-73fb-490e-9a39-856c3f38759b
